merchant_raw,category_id,amount_cents
#316 SPORT CHEK         EDMONTON,shopping,1600
#334 SPORT CHEK         WEST VANCOUVER,shopping,1455
#5120 SPORT CHEK        VICTORIA,shopping,6046
"0804723 BC LTD VICTORIA, BC",shopping,500
1838-TOR ISTORE - T1    MISSISSAUGA,shopping,3163
365 MARKET CA 1 365 MAR MISSISSAUGA,groceries,188
"365 MARKET CA 1 MISSISSAUGA, ON",groceries,179
579 - LEE'S DONUTS @    RICHMOND,dining,394
7 ELEVEN STORE #29903   KELOWNA,groceries,354
7-ELEVEN STORE #37899   VICTORIA,groceries,408
"7-ELEVEN STORE #37899 VICTORIA, BC",groceries,408
7102351 - TIM HORTONS D MISSISSAUGA,dining,564
=BIRYANIPALACE 001      VICTORIA,dining,7240
=DIAL-A-STYLEBARBERSH 0 BURNABY,health,4400
=EXPRESSNEWS&SMOKES 001 N-VANCOUVER,shopping,595
=HYDERABADBIRYANIHOUS 0 VANCOUVER,dining,6520
=NEROWAFFLES 001        VANCOUVER,dining,2174
=WELAPROGRESSIVEHEALT 0 N-VANCOUVER,health,1885
A & W # 0540 NORTH VANC NORTH VANCOUV,dining,1082
A & W VANCOUVER AIRQPSP RICHMOND,dining,1101
A AND W 0593            BURNABY,dining,1552
A&W #0541 NORTH VANCOUV NORTH VANCOUV,dining,588
A&W #1587 EDMONTON INTE EDMONTON INTE,dining,450
"ACCU-SEARCH REGISTRY EDMONTON, AB",transport,2800
ADIDAS CANADA LIMITED   WOODBRIDGE,shopping,7350
"AIR CANADA 0144258388665 WINNIPEG, MB 23.63 USD @ 1.373677",travel,3246
Air India Limited db TE Toronto,travel,192794
AIRCANADA               WINNIPEG,travel,9918
"ALBERTA REGISTRY SERVI BLACKFALDS, AB",transport,15065
ALFA TEA BURNABY LTD.   SURREY,dining,866
AMARAVATHI RESTAURANTS  BANGALORE,dining,1239
AMAZON MARKEPLACE NA PA,shopping,26932
AMAZON.CA               866-216-1072,shopping,-2199
AMAZON.CA PRIME MEMBER  AMAZON.CA/PRI,subscriptions,1119
AMAZON.CA*BF5F55H80     866-216-1072,shopping,4762
AMAZON.CA*BF94F6BB0     866-216-1072,shopping,3148
AMAZON.CA*GD83Z1RT3     AMAZON.CA,shopping,13632
AMAZON.CA*M160992Z3     866-216-1072,shopping,2199
